6,8,15,27,28,30,37,38,39,44,46,49,51,52,59,70,75,77,78,80
2,5,10,13,19,23,26,29,32,35,42,53,55,57,58,60,62,67,78,79
4,8,14,18,21,40,41,42,46,50,52,55,56,57,61,70,72,75,77,80
7,10,12,14,19,22,23,26,35,42,43,44,48,49,53,63,65,71,77,78
2,11,13,14,16,18,24,30,35,38,45,49,50,51,53,54,55,57,65,80
2,8,16,18,20,23,24,25,26,28,32,48,54,56,57,60,61,72,78,80
8,10,12,13,26,27,29,31,36,38,41,44,53,57,58,60,66,68,75,78
2,5,9,11,13,19,28,29,30,33,34,41,48,53,58,59,72,75,78,80
6,8,10,12,17,27,30,32,34,39,43,47,51,55,58,61,68,72,75,80
4,7,10,18,21,30,32,35,36,38,42,49,53,55,63,70,74,75,78,79
1,3,7,13,18,19,20,21,22,31,37,39,40,50,54,56,63,64,69,79
2,4,5,7,10,11,15,19,20,44,46,47,54,59,64,66,71,74,75,77
6,11,13,16,21,25,28,37,38,39,43,50,51,61,62,64,69,73,76,79
2,15,19,20,23,26,29,38,40,42,43,45,49,51,64,66,74,75,76,80
5,9,15,16,17,25,30,41,43,46,51,52,61,65,69,70,72,73,74,76
4,9,11,12,13,17,19,22,24,35,36,43,47,48,49,55,57,58,64,71
9,10,13,18,19,20,29,30,34,36,42,44,49,51,53,56,69,76,77,79
3,5,12,16,20,21,22,27,32,36,39,45,49,51,58,59,63,70,72,76
2,3,7,8,9,11,22,23,28,31,34,39,57,61,64,71,72,76,77,80
3,6,9,11,16,37,39,40,41,48,49,51,52,55,56,57,58,61,70,78
3,4,10,13,16,17,24,35,38,43,48,50,54,58,59,70,72,73,74,75
3,6,11,12,13,18,19,24,30,32,33,35,36,47,51,58,62,68,70,72
1,3,4,7,10,13,15,16,25,30,32,36,38,46,48,51,61,64,67,80
11,12,15,17,28,35,37,43,44,46,49,50,55,60,70,71,73,76,78,80
2,4,6,10,21,32,33,37,39,40,48,49,59,61,63,64,65,70,79,80
2,3,6,11,18,22,30,34,35,37,46,48,53,57,61,68,71,77,79,80
8,11,12,16,19,30,32,33,40,45,47,50,54,58,59,61,62,76,79,80
5,6,8,13,17,22,27,28,30,32,40,61,63,64,65,66,71,74,75,76
10,15,23,25,29,30,31,33,48,50,51,54,57,62,63,70,71,75,76,79
2,5,7,18,22,23,27,29,30,32,34,37,40,51,56,58,62,67,70,78
1,4,8,9,16,21,23,25,35,43,48,53,54,57,66,67,73,75,79,80
2,9,10,13,29,32,37,47,48,50,56,64,68,69,72,73,75,76,77,78
4,10,12,16,19,25,26,28,32,34,36,39,42,50,54,61,66,71,75,80
1,4,8,18,24,26,30,32,35,42,44,48,51,57,61,63,65,68,73,74
3,5,7,8,11,19,24,30,32,40,44,45,53,54,57,63,72,76,77,80
3,9,14,16,22,23,24,26,40,41,47,49,54,56,58,65,67,72,73,77
8,10,14,15,25,33,34,36,39,40,41,44,48,56,60,63,64,70,77,80
10,12,14,15,16,23,24,27,30,32,33,42,49,50,51,60,66,67,72,77
1,3,7,9,11,17,19,23,32,34,38,40,42,43,52,61,68,70,77,80
3,4,7,8,16,26,32,33,37,41,42,45,56,59,61,63,65,66,76,80
6,13,19,21,26,30,37,38,39,41,42,45,47,48,52,53,62,72,75,80
2,5,6,8,11,19,26,34,40,43,49,52,53,58,60,61,63,72,75,76
5,9,13,18,19,21,33,35,38,39,40,44,48,57,64,65,67,68,69,76
